review_id,hotel_id,review_date,name,review
575499706,VCBCX1,4/24/2018,Vancouver X Inn,"This XT property definitely meets my expectations for a full service hotel as facility is well maintained and the employees are extremely courteous and attentive.  The room was pleasant and for me was a two room suite.  The master bed had its own door for privacy and the bathroom is accessible by both rooms via a single door.  There was plenty of room to relax with a hide-away sofa and the desk was well lit for work.  A simple service bar is available with complimentary coffee/tea and a wine refrigerator.  The view I had was shared by the Executive lounge which overlooks the Crystal Mall.  If you're into sushi, there are two incredible places just across the street, as well as an Earl's and other fine dining.  It was close to where I needed to be so it was not only comfortable but convenient as well.  I have already returned to this property and hope to stay again when I return for more business."
477003835,VCBCX1,4/18/2017,Vancouver X Inn,"One night in Vancouver when we visited our son who goes to college there. I ravel a lot and stay in many hotels. The service at The Vancouver XT Metrotown was courteous and efficient. The 11th floor room was nicely appointed, spotlessly clean, and smelled fresh. The elevators actually go nice and quickly, which is a bonus on the 11th floor. Bed was comfy. Everyone was so friendly. Even the cleaning staff were full of smiles and wishing us a good morning.This makes a big difference! But best of all was the restaurant. We just had one meal there (dinner). The food was excellent (my wife has chicken and I had fish). The service was spectacular - our server was deligtfuland really on the ball (I forget her name, but she was from the Czech Republic Republic). She really looked after us. Overall an excellent stay and I highly recommend this hotel. It's a people business and these folk get it!"
488584133,VCBCX1,5/28/2017,Vancouver X Inn,"My vehicle was parked in underground hotel parkade during my 3 day stay there.  My vehicle was broken into shortly after I checked-in. The hotel asked if I was in valet parking - I was right beside it.  But no security cameras caught the break-in.  There was no electronic gate at the entrance or exit.  Very bad security!  I lost approximately $800 in valuables including prescription medication.  I asked if the hotel would pay the deductible for the broken window and locks.  I was told the XT did not own the parkade and that there were signs advising that it was not responsible for vehicle break-ins.  Other than that, I found the staff quite friendly and the accomodation quite nice.  The $30 I paid for my daughter's breakfast buffet was a little steep!"
242843543,VCBCX1,12/3/2014,Vancouver X Inn,"Vancouver was a significant stop on a 5 week road trip from Jackson, Wyoming, ending in Northern California.  To reduce expenses, I booked this hotel using XT points.  Although the hotel is not in downtown Vancouver, it was an easy train ride into town.  Our room was upgraded, and we had a separate bedroom and living area.  As a result, my friend had to sleep on a sleeper sofa which wasn't the most comfortable.  The extra space was helpful, but her sleeping arrangements weren't ideal.  The hotel staff is friendly and provided good directions to the train station and local transportation.  When driving it, it took us quite some time to find the hotel even with GPS, and traffic was horrific."
288729010,VCBCX1,7/13/2015,Vancouver X Inn,"The best cost benefit for a family of four with an excellent location in Vancouver: public transportation, variety of good restaurants and a shoping mall at one block, plus an outstanding service from all employees of the hotel. My wife, two teen kids and I, comfortable in the same suite, it is possible at this unique XT. Despite some minor issues like: no microwave in the room, no breakfast family package, no shuttle to anywhere, which i would firmly suggest to XT of considering these easy improvements to gain the excellent, as the experience for staying for a long period is, so far, totally acceptable without suffering."
296762201,VCBCX1,8/7/2015,Vancouver X Inn,We stayed 6 nights at this hotel a little bit further than Vancouver. It is a five minute walk away from the Metropolis Metrotown shopping mall and across the street from a supermarket and drugstore. The neighborhood is under construction but once inside the hotel you enjoy a quiet atmosphere and luxurious large rooms. Prefer to stay at a high level for enjoying the view to the buildings and mountains. We definitely recommand this hotel if you have a car to drive to Granville Island or Vancouver. Selfparking is available  for a fee but you can choose valet parking alternatively. We enjoyed free wifi.
168480110,VCBCX1,7/21/2013,Vancouver X Inn,"Being a XT Diamond member for many years, to say I have many points of reference is redundant. This is one of those XT's which is a standout. the location is great; adjacent to Metrotown and SkyTrain. The executive lounge staff is top-notch and include Jennifer and Candace. The two ladies and very polite, professional, friendly and efficient. I could have easily stayed closer to my work, but found this XT my preference even if I had to take a taxi to and from work every day. I believe I stayed here at least 8 different weeks over a couple of years and will whenever I do visit again."
627361020,VCBCX1,10/22/2018,Vancouver X Inn,It was a first visit to Vancouver for a 3 day event held at this hotel. Every employee we encountered was intent on making sure our stay was comfortable and stress free.  The food was delicious both in the restaurant and at our event.  Our beds were comfortable and made up fresh every day. Especially appreciated were the manager and chef that came running to help with a nasty glue gun burn during prep for the event. That chef even checked on me during lunch the next day.  This hotel made an unforgettable event even better. Let's hope the Hearties use them again next year. â¤ï¸
422826413,VCBCX1,9/27/2016,Vancouver X Inn,We stayed three days pre cruise on route to Alaska and one day post cruise on return. The hotel is well positioned for the sky train for exploring down town with the usual comforts you expect from the XT brand. We were travelling with our two friends who like ourselves noted the friendly helpful manner of the staff. Sometimes in a big organisation this can be the hardest area to get right. But as we say in Scotland everyone was singing from the same hymn sheet and the staff from the doormen breakfast and bar staff to the reception were exceptional. Great chat and good fun.
558030698,VCBCX1,2/2/2018,Vancouver X Inn,"We stayed at this hotel for 3 nights and had picked it due to its location near the skytrain. However despite being a XT Honors member and using 30,000 points we were given a different room to what we booked and it overlooked a noisy very large construction area. Very disappointing after a 14 hr plane trip! It was also near a very noisy ice machine - staff made no effort to discuss while we were there and to reconcile. Despite this beds were comfortable and food in restaurant in hotel was very good. The hotel lacks atmosphere though - needs a makeover. "
188227404,VCBCX1,12/21/2013,Vancouver X Inn,"This was our first trip ti Vancouver (and Canada). This hotel is about a 20 minute train trip from the city center and water front but the train station is just a street or two away from the hotel, there is also a bus station nearby if you fancy a bus trip into town! There is a supermarket, a huge shopping center and lot of restaurants very close by too. To me, it seemed to be a area dominated by Asian shops and foods, which was wonderful! The hotel staff were very helpful and friendly. The room was great and kept spotless while we were there."
603130672,VCBCX1,8/5/2018,Vancouver X Inn,"Excellent location, within walking distance from the Metro station, Metropolis mall, Pricesmart grocery store and Halal food whih is located right behind the hotel.The Filipino lady at the front desk (apologies I forgot her name) was very professional and kind. Mr.Raju at the conceirge was knowlegable and professional and helped us plan our activities.Ronaldo Santos the Bell man was helpful and extremely kind to my kids.The hotel room I stayed in was at the 14th floor, it was clean and nice. I would definitely stay there again."
632946445,VCBCX1,11/12/2018,Vancouver X Inn,"The entire staff was excellent and went beyond expectations. My companion became ill and they went out of their way to make her feel better. The manager went as far as going out to get pain medication for her and having a microwave brought to our room. With service like this, we will continue to come back each year. The location has access to a great balance of city vibe and neighborhood feel. There is so much you can walk to if you are interested in taking scenic excursions. I have no complaints whatsoever."
493689401,VCBCX1,6/17/2017,Vancouver X Inn,"It's 3.15am in the morning, I have two young babies and no CRIBS are available it's pure and utter torture we have had no sleep even though I called ahead before and requested them. Just told to sleep with them in bed which is impossible and unsafe with two of them. This is a night from hell. This is disgraceful and totally unfair. Hotel of bloody torture this is. Will never ever be staying here again. If you have children don't stay here your more than likely won't get a crib! Beware!!!"
427724843,VCBCX1,10/13/2016,Vancouver X Inn,"Vancouver has a lot of hotels - The XT Metrotown is a great hotel for business travelers.   It's a full service hotel and it has all of the amenities and services that you need.   Personally, I like it because of its location - I can easily drive to job sites - and if I want to go downtown, Translink station is close by.This is not the newest property but it's well maintained and nice and clean.   Staff are very friendly and helpful and speak multiple languages."
357298156,VCBCX1,3/21/2016,Vancouver X Inn,"We stayed here for just one weekend.  We never did use the internet, gym or pool. As we were too busy with friends and family.  But the view was nice, staff were great, room was very clean.  My husband and I would definitely stay there again. The location perfect; we could walk to shopping or restaurants, and use the sky train to get downtown. We do not like to drive much in Vancouver, so we left our car in the underground parking- which was extra, but worth it."
207977422,VCBCX1,5/29/2014,Vancouver X Inn,"The rooms are spacious, immaculate and the bed is luxurious.  The hotel was very quiet and the restaurant has an extensive buffet.   Would highly recommend this hotel to anyone staying in Burnaby.  Below the hotel is the delightful Crystal Mall which is an Asian Shopping Mall and across the street is a beautiful park.  Within a short block is the Metro Mall which is fantastic and offers all high brand name stores.  The location of this hotel cannot be matched!!"
542125603,VCBCX1,11/19/2017,Vancouver X Inn,This is the second year we have stayed at this hotel because of an event we attend. It is kind of an expensive hotel with expensive parking charges. We have never eaten in the hotel as there are a lot of less expensive alternatives for meals close by. If we did not get a group rate we would probably look for a less expensive alternative.  One thing to note - the beds seem kind of hard. By the third of the 6 nights we were there it was getting uncomfortable.
210704268,VCBCX1,6/17/2014,Vancouver X Inn,"why stay downtown when you can beat congestion by staying here? easy to reach all downtown activities n Richmond. located next to a mall with great Asian cuisine food court. disappointed in the small pool n spa size, though n the fact that its difficult to reach (definitely Not handicap accessible!).  but room was large, beds comfortable, view wonderful. parking is an extra $11.00/night charge, though.  really??? Why? breakfast buffet was great, but pricey."
460176110,VCBCX1,2/15/2017,Vancouver X Inn,"We would like to commend your staff Eddie. We booked 4 rooms next to each other on the 8th floor as we were all from out of town and went to Vancouver to attend a friend's funeral. On our last night, feb11,  we ordered soda to be brought to our room. When he learned we were having a get together to celebrate memories of our friend's life, he brought us plates, forks, chips and nuts! We were surprised and deeply touched with the gesture. Thank you Eddie!"
274211719,VCBCX1,5/24/2015,Vancouver X Inn,"No need to pay exorbitant Vancouver downtown prices. This hotel worked out well for us. We got the King suite and was perfect for 2 adults and 2 kids. Hotel and rooms were very clean, staff friendly and helpful. Metrotown Skytrain station just 5 min walk away so very easy and reasonably priced to get to and from Vancouver downtown. Chinese food court of the adjacent Crystal Mall accessible from the 2nd floor with great Chinese and Malaysian options."
640437177,VCBCX1,12/18/2018,Vancouver X Inn,"I have stayed in this XT many times and it never disappoints, it is likely my favorite XT property.  There are a number of good restaurants within walking distance, although the food and service at the in house restaurant and bar normally keep me here.  If you want to head downtown the sky train is only a block away, it's about a 20 min ride.  For exercise, Central Park is a quick walk and offers a great trail and 5k path for a jog."
