Review ID,Hotel Name,Hotel Address,Hotel City,Hotel Zip,Hotel State,Latitude,Longitude,Review Date,Review Rating,Review Text,Review Length,Review Title,Reviewer,Reviewer State
4136,Soft Beds,5175 Carmichael Rd,Montgomery,36106,AL,32.359833,-86.217384,10/31/2014,2,"Arrived early, but room was not ready. Was disappointed to see that the pool was shut down for the season already, (October) even though the temperature was in the mid 80's. Room was ok, but the furniture was worn, and one chair had a broken leg. Stains on the carpet, and a towel rack had been ripped off the wall... More",322,Could be better,Yorkresident,AR
4140,Soft Beds,5175 Carmichael Rd,Montgomery,36106,AL,32.359833,-86.217384,1/3/2014,3,"Good motel for the price (50). Was traveling through about midnight and all of the surrounding hotels had a locked lobby with no one at the front desk. Room was worn and needs to be renovated, but it was very clean. Don't be fooled by the sign out front that states, RECENTLY RENOVATED. I didn't see the sign until the... More",326,Worn but cheap and clean!,Bweime1,LA
2320,Lewis Radio Beds,1100 Lewis River Rd,Woodland,98674,WA,45.90706,-122.74029,12/13/2014,4,The rooms were comparible to those at hotel/motel chains costing significantly more. My room was clean and comfortable. My only complaint is there is no iron in the room. Make sure that you book or ask for a new room and you won't be disappointed.,247,"Nice room, reasonable rates.",Ks60,TN
4259,Sunshine Beds & Suites Bay City,3959 Traxler Ct,Bay City,48706,MI,43.625193,-83.933687,7/26/2014,4,"Budget-minded travelers appreciate amenities like complimentary breakfast buffet and a kids-stay-free policy. In ShortSince its 1952 debut in Memphis, Tenn., Holiday Inn has become one of the most recognized hotel brands in the world. In addition to the Kids Eat and Stay Free program, Holiday Inn Express offers amenities like free high-speed Internet access, in-room data ports and cable television. Upgraded showers feature multi-function shower heads, curved curtain rods and upscale bath products. A complimentary breakfast bar is available with warm cinnamon rolls and 100-percent Arabica coffee.",602,Good nights rest,Robyn Galbos,KY
1366,Budget Beds,316 E 3rd St,Owensboro,42303,KY,37.773652,-87.107953,10/21/2014,2,"Editorial Review by Citysearch Editors Economy lodging features smoking and nonsmoking rooms with a hair dryer, coffeemaker, an iron and cable TV pets allowed.",159,Rude,Contributor,MO
3545,Profile Deluxe Rooms,580 S Route 3 (daniel Webster Highway) Po Box 99,Twin Mountain,3595,NH,44.266968,-71.56098,2/15/2014,4,"I have stayed there several times in the winter to snow mobile and summer to hike and bike. There is a nice pool but it was always too cold out to swim. It is not fancy like the big hotels but for the price it is great. It is always clean and neat and cute furnishings. The owners are helpful and have free coffee, cocoa in the rooms. Good cable. The rooms I stayed in had a refridge and a microwave.",400,stayed there,Joanna713,FL
1220,Blondy Vandalia,2707 Veterans Ave,Vandalia,62471,PA,38.97034343,-89.12880845,7/8/2014,1,"A lodging staple for budget-minded road-trippers and business travelers. In ShortSince the Ramada brand made its debut in 1954 in Flagstaff, Ariz., the hotel franchise has been offering dependable accommodations with budget-wise perks. Families appreciate the kids-stay-free policy for children 17 and under staying with their parents. Other amenities usually include a swimming pool, full-service restaurant, lounge, in-room data ports and voice mail. Group rates--for wedding parties, corporate groups or family reunions--are available for parties requiring 10 or more rooms per night.",587,Unethical,Robyn Galbos,IA
4145,Soft Beds,5175 Carmichael Rd,Montgomery,36106,AL,32.359833,-86.217384,8/8/2014,3,"We were heading to Mongomery to check out Hank Williams' museum and wanted to see his grave. We chose this hotel because of the location, and the price quoted from AAA. Also, it advertised it had wireless internet access and a deluxe continental breakfast. Well, the internet access was intermittant at best - kept getting kicked off - and had... More",351,wouldn't go back !!,Garcia745,AR
4931,The Laker Center,61 Lake Point Dr,Russellville,72802,AR,35.32157,-93.2118,8/18/2014,1,"First of all, this is a Conference Center run by the Arkansas Tech University at Russellville. The complex is on a beautiful lake just west of Russellville Arkansas. There are multiple 2-story buildings in the complex, each with about 30 rooms and an open atrium facing the lake for group activities or meetings. The University purchased the center in 2006... More",364,Flunking out at Lake Point,Travelguystl,AR
2751,Maxi 8 Rooms Fairmont,1201 Torgerson Dr,Fairmont,56031,MN,43.676471,-94.446189,9/13/2014,4,"Charged us twice 2 months later, BOOOOOOOOO This hotel was pretty nice as far as the stay went. However, just this week they recharged my credit card for our stay in July (its now September). I called them and told them that I had this charge on a previous statement and the lady who apparently was the person to talk to about this, told me that it was a pending change and that it didn't really charge the card. This was BS. Furthermore, she explained how a bunch of credit cards got stuck and the were re-running them. My credit card is currently disputing the charge after confirming that it was a second charge. I will get the charge removed. What bothers me is not so much the mistake, but that this seems highly unethical. I keep close track of my spending in an excel spreadsheet, but if I didn't, which most people probably don't, I probably would have assumed it never got charged and let it go. And if there are people out there doing this to a group of cards, I'm sure many people will let it go and get charged twice. THIS SEEMS TO ME TO BE PRETTY UNETHICAL. So, go ahead and stay here, it a nice hotel, but watch your credit cards statements.",1155,comfortable bed / sofa bed not so good,Duckyfuzz9,TX
1861,Flower Beds Saginaw,5200 Fashion Square Blvd,Saginaw,48604,MI,43.48418,-83.96907,10/5/2014,5,"Business travelers and families are treated to home-like accommodations at a moderate price. In ShortBuilding on the Marriott family's hospitality trademark, Fairfield Inn properties boast clean, spacious rooms at a rate that won't strain the budget. Standard guest rooms have a well-lit work area, cable TV, iron and free local telephone calls. Suites include added luxuries like an entertainment center with large TV and stereo-CD system, mini-refrigerator and microwave oven. Free services include 24-hour coffee and tea, and a daily continental breakfast.",559,"Convenient, great staff and clean",Contributor,MI
2540,Macrotel Beds and Suites By Burlington,2185 W Hanford Rd,Burlington,27215,NC,36.06256,-79.43484,10/5/2014,5,Editorial Review by Citysearch Editors Economy hotel offers guests free in-room local and long distance phone service and wireless Internet complimentary breakfast also provided.,178,Nice hotel close to destination,Contributor,NC
4160,Soft Beds,4630 Chambers Rd,Macon,31206,GA,32.805482,-83.722511,10/5/2014,5,"Mid-priced hotel offers a comfortable stay to travelers with its restful Quality Sleeper beds and free daily newspapers. In ShortGuests enjoy high value and comfort with this hotel's accommodations. Clean, relaxing rooms feature the signature Quality Sleeper beds by Serta, in-room coffeemakers, free local calls and complimentary daily newspapers. Many locations also feature high-speed Internet, a swimming pool, guest laundry facilities and exercise rooms. In addition, some hotels also include restaurants that serve breakfast and dinner.",542,Best Qualoty Inn,Contributor,KY
1840,Econo Garden,2906 Pleasant Valley Blvd,Altoona,16602,PA,40.49514,-78.395267,10/6/2014,4,"Editorial Review Nationwide hotel chain is family- and business-friendly. Amenities include communication facilities, large conference rooms, Jacuzzi suites and outdoor pools.",175,Good value for the money,Contributor,MD
5004,Titanic Beds Humboldt Bay,4260 Broadway,Eureka,95503-5738,CA,40.767605,-124.191895,10/6/2014,3,"Value-conscious hotel with the sunburst sign provides basic amenities to ensure travelers a comfortable stay. In ShortThis nationwide chain promises value-added amenities to its guests. King and two-queen guest rooms offer clock radios, hair dryers, shampoo, televisions with HBO or Showtime and complimentary copies of USA Today. The property is inspected three times a year for quality by an independent quality assurance team and assigned a Sunburst rating, so travelers can rest assured that their accommodations are clean and comfortable.",543,Clean Room and Full Breakfast,Contributor,CA
4133,Soft Beds,5175 Carmichael Rd,Montgomery,36106,AL,32.359833,-86.217384,12/26/2014,1,"I wanted a place that was clean and safe, and didn't mind if it was older and rundown a bit -- but this place was beyond a bit worn, it was grungy and a total dump. We picked this place because the reviews here didn't make it seem as bad as it turned out to be, and through our Choice... More",292,Avoid this dump!,Newsgal36,MO
4152,Soft Beds,5175 Carmichael Rd,Montgomery,36106,AL,32.359833,-86.217384,1/9/2014,4,"The quality inn was an older motel but the staff was excellent!! The room we had was very clean, the carpet could have stood to be replaced but all in all it was a very good trip. The location was wonderful it's convienient to almost everything. And all the staff even the housekeepers were very helpful. We paid 49 plus... More",328,very friendly staff,Chikracr3,LA
3414,Paris Beds & Suites Dublin,101 Travel Center Blvd,Dublin,31021,GA,32.487051,-82.938687,1/12/2014,5,"Distinctive whitewashed and tile-roofed chain offers convenience and consistency. In ShortSince opening its first location next to the San Antonio World's Fair in 1968, this hotel has become synonymous with consistency and reasonable rates. Room conveniences include data port phones with voice mail, free high-speed Internet, work spaces, coffeemakers, irons, hair dryers and premium TV channels. Budget-conscious travelers will appreciate free continental breakfast and free stays for kids under 18. Two-room suites include separate sitting and sleeping areas and a recliner or pull-out sofa.",594,THEY DO IT RIGHT - STAY HERE FOR SURE!!,Contributor,TN
4104,Sinatra Hotel Bed Breakfast,112 Main St,Gooding,83330,ID,42.944965,-114.71284,1/30/2014,5,"The Gooding Hotel Bed Breakfast is the quintessential BB experience. It is owned and operated by descendants of the city founding fathers, Dean Judee Gooding. They take great pride in making each and every guest feel welcome even to the point of feeling like family. Their breakfasts are made to order delightfully with a regional flair.... More",345,Finally a REAL BB!,Someoneofconsequence,OR
5165,Town Country Rooms,5451 Osage Beach Pkwy,Osage Beach,65065,MO,38.12717,-92.66533,2/2/2014,5,We had a wonderful stay...The help and all was wonderful with advice on what to do and where to go!! Would recommend this to everyone. Very Clean!!!!! Wonderful Staff !!!!! Will return when we plan our next trip !!!!!,217,Fabulous,Prvtlady43,MO
4936,The Laker Center,61 Lake Point Dr,Russellville,72802,AR,35.32157,-93.2118,3/18/2014,5,"I have lived in Russellville, Arkansas for most of my life and consider this part of Arkansas to be one of the most beautiful areas. I consider myself well versed on the veritably delightful water front locations in my town. I did not in fact know, before this visit, of a gem hidden half way between Russellville and London. Lake... More",338,Amazing Staff,Gozrussellville,AR
4138,Soft Beds,5175 Carmichael Rd,Montgomery,36106,AL,32.359833,-86.217384,6/4/2014,2,"Room had significant deferred maintenance. Wall covering coming off wall in bath room, repair to shower tile substandard, hasn't been painted in who knows how long, windows dirty, lighting grill work broken. Choice Hotels really need to do a better job to monitoring their franchisees.",285,A real dump,93908,LA
1955,Fly Bed and Breakfast,1118 Government St,Mobile,36604,AL,30.684177,-88.062045,6/30/2014,5,"One of my very favorite BBs in the country This is a GREAT place to use as a home base for exploring Mobile. Steve and Enoch know Mobile very well and can refer to all sorts of attractions, restaurants, etc. Mobile itself is just exquisite and is a fascinating place (at 300+ yearsw, it's one of the oldest cities in the US) and the downtown restaurants are TERRIFIC. Of the bed and breakfasts I've visited, Berney Fly is the closest to perfection. Steve and Enoch are wonderful and attentive hosts, the rooms are immaculate, the service is first-rate (and be sure to check out their pool in the back!). A definite must stay.",625,"Beautiful home, great value, exceptional host,",Marq,FL
4945,The National Center,18980 Upper Belmont Pl,Leesburg,20176,VA,39.094056,-77.485577,4/27/2014,2,Goto the Black Olive.,21,"Confusing layout, tiny rooms, nice people, good food",Ryan T,IL
5838,Zamly Plaza Hotel,50 Capital Ave S W,Battle Creek,49017,MI,42.312,-85.19201,5/17/2014,4,ask for liz at the bar!!!!,26,"Nice, but very dated",Marty Styles,MI
4105,Sinatra Hotel Bed Breakfast,112 Main St,Gooding,83330,ID,42.944965,-114.71284,6/4/2014,5,"This was the perfect discovering in the little town of Gooding! Arriving on a business trip, I stayed three nights with the Gooding's and was treated to gourmet breakfasts each morning. Accompanying the beautiful room and the delicious breakfast was incredible hospitality. Not knowing the area, the Gooding's provided history, information, and advice on which attractions to visit and where... More",399,Perfect little B B,Specialena,ID
3242,Nights Beds Warren,210 Ludlow St,Warren,16365,PA,41.83631,-79.16931,6/12/2014,4,"Very nice place. Few minor problems, but motel staff took care of it right away.",80,Very peaceful !!,Amn,MD
5821,Zamly Plaza Hotel,50 Capital Ave S W,Battle Creek,49017,MI,42.312,-85.19201,7/26/2014,2,wear the ear plugs they give u @ night -- they're there for a reason! beep beep train coming through,100,Booking Through 3rd Part Less Than Acceptable,Lucy Drummond,MI
3684,Radio Beds & Suites Fort Worth-west-i-30,2700 Green Oaks Rd,Fort Worth,76116,TX,32.73509,-97.43459,7/31/2014,5,There is no newspaper in the lobby.. What?,42,Caring Staff and great accomodations,Zack Hughes,TX
1526,Cathedral By Rocket Rockaway Mount Arlington,15 Howard Blvd,Mount Arlington,7856,NJ,40.900052,-74.634776,8/13/2014,5,Check out the new fitness equipment.,36,Comedy Night,Bob,NJ
4865,The Beds On Negley,703 S Negley Ave,Pittsburgh,15232,PA,40.453283,-79.931668,8/15/2014,5,french toast is amazing.,24,Very accommodating,Eric Volk,NY
5399,Village Suites Albany University Area,1379 Washington Ave,Albany,12206,NY,42.686743,-73.815101,8/15/2014,3,00 and 01 rooms are 2 bedroom suites,36,"Clean, efficient and afforable",James Dolence,NY
3930,Sand Stone Suites Columbia,7055 Minstrel Way,Columbia,21046,MD,39.176128,-76.847257,8/26/2014,4,The official hotel of @24HoursofBooty!,38,Lax tournament - great stay!,Basil Lyberg,MA
