state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,class
37.0,129.0,b'510',194.0,b'0',b'1',36.0,192.8,103.0,32.78,177.0,83.0,15.05,216.5,118.0,9.74,16.4,5.0,4.43,b'1',0
16.0,88.0,b'415',3729.0,b'0',b'0',0.0,189.8,111.0,32.27,197.3,101.0,16.77,234.5,111.0,10.55,14.9,3.0,4.02,b'2',0
50.0,90.0,b'415',4667.0,b'0',b'0',0.0,207.2,121.0,35.22,292.5,104.0,24.86,226.3,103.0,10.18,8.0,1.0,2.16,b'2',0
35.0,65.0,b'510',1275.0,b'0',b'0',0.0,153.9,117.0,26.16,220.1,122.0,18.71,280.5,147.0,12.62,8.5,3.0,2.3,b'2',0
41.0,78.0,b'415',1743.0,b'0',b'1',25.0,197.4,73.0,33.56,295.7,113.0,25.13,211.7,73.0,9.53,13.2,2.0,3.56,b'0',0
27.0,190.0,b'408',4314.0,b'0',b'0',0.0,182.2,101.0,30.97,212.3,95.0,18.05,233.0,123.0,10.49,9.3,4.0,2.51,b'2',0
48.0,75.0,b'415',1011.0,b'0',b'0',0.0,184.8,126.0,31.42,198.6,103.0,16.88,103.0,90.0,4.64,8.3,3.0,2.24,b'1',0
49.0,144.0,b'510',3440.0,b'0',b'1',38.0,105.0,86.0,17.85,121.8,123.0,10.35,221.5,122.0,9.97,3.7,4.0,1.0,b'0',0
1.0,89.0,b'510',1022.0,b'0',b'0',0.0,129.2,71.0,21.96,214.1,68.0,18.2,214.9,100.0,9.67,10.3,4.0,2.78,b'5',1
2.0,113.0,b'510',1736.0,b'0',b'1',39.0,209.8,77.0,35.67,164.1,90.0,13.95,159.7,100.0,7.19,9.0,4.0,2.43,b'1',0
3.0,100.0,b'415',217.0,b'0',b'1',26.0,153.7,115.0,26.13,137.8,146.0,11.71,213.5,104.0,9.61,15.9,5.0,4.29,b'1',0
32.0,67.0,b'415',4048.0,b'0',b'0',0.0,215.5,102.0,36.64,190.7,95.0,16.21,214.5,106.0,9.65,8.6,6.0,2.32,b'1',0
36.0,116.0,b'510',3426.0,b'0',b'0',0.0,205.0,90.0,34.85,140.9,114.0,11.98,272.6,96.0,12.27,7.5,4.0,2.03,b'2',0
37.0,51.0,b'510',3478.0,b'0',b'0',0.0,51.8,107.0,8.81,230.2,104.0,19.57,227.5,118.0,10.24,10.4,4.0,2.81,b'2',0
42.0,37.0,b'415',4524.0,b'0',b'0',0.0,221.0,126.0,37.57,204.5,110.0,17.38,118.0,98.0,5.31,6.8,3.0,1.84,b'4',0
40.0,106.0,b'510',2612.0,b'0',b'0',0.0,168.4,85.0,28.63,123.3,95.0,10.48,162.5,83.0,7.31,4.6,4.0,1.24,b'3',0
48.0,117.0,b'408',2498.0,b'0',b'1',14.0,80.2,81.0,13.63,219.0,103.0,18.62,122.6,102.0,5.52,8.6,2.0,2.32,b'1',0
13.0,92.0,b'415',4742.0,b'0',b'1',23.0,167.4,83.0,28.46,258.6,129.0,21.98,116.4,110.0,5.24,11.2,3.0,3.02,b'4',0
13.0,57.0,b'415',582.0,b'0',b'0',0.0,217.1,115.0,36.91,258.6,92.0,21.98,173.7,117.0,7.82,12.6,6.0,3.4,b'2',0
14.0,98.0,b'510',1244.0,b'1',b'0',0.0,158.4,71.0,26.93,306.6,66.0,26.06,144.2,93.0,6.49,2.1,4.0,0.57,b'1',0
30.0,22.0,b'408',4611.0,b'0',b'1',29.0,151.2,147.0,25.7,203.2,135.0,17.27,296.1,98.0,13.32,11.1,2.0,3.0,b'2',0
16.0,178.0,b'415',1214.0,b'0',b'1',22.0,112.8,66.0,19.18,232.6,100.0,19.77,194.8,119.0,8.77,14.3,3.0,3.86,b'1',0
39.0,77.0,b'408',1935.0,b'0',b'0',0.0,196.6,87.0,33.42,117.7,103.0,10.0,124.9,100.0,5.62,11.4,3.0,3.08,b'2',0
30.0,114.0,b'415',4148.0,b'0',b'0',0.0,169.6,85.0,28.83,58.9,86.0,5.01,179.3,124.0,8.07,7.4,8.0,2.0,b'1',0
14.0,158.0,b'415',4678.0,b'0',b'1',19.0,127.6,88.0,21.69,235.2,82.0,19.99,195.0,87.0,8.78,10.1,3.0,2.73,b'0',0
18.0,62.0,b'415',2987.0,b'0',b'0',0.0,186.8,94.0,31.76,207.6,92.0,17.65,195.0,98.0,8.78,8.8,4.0,2.38,b'3',0
2.0,132.0,b'415',1176.0,b'0',b'0',0.0,99.0,126.0,16.83,189.4,76.0,16.1,156.3,108.0,7.03,8.4,3.0,2.27,b'1',0
46.0,113.0,b'415',4833.0,b'0',b'0',0.0,272.1,111.0,46.26,268.5,118.0,22.82,213.8,105.0,9.62,8.5,10.0,2.3,b'1',1
0.0,146.0,b'415',3654.0,b'0',b'0',0.0,195.9,86.0,33.3,228.6,82.0,19.43,303.5,94.0,13.66,12.2,4.0,3.29,b'3',0
21.0,19.0,b'415',4042.0,b'0',b'0',0.0,201.5,123.0,34.26,129.2,110.0,10.98,220.6,98.0,9.93,12.9,4.0,3.48,b'1',0
32.0,141.0,b'415',1280.0,b'0',b'1',28.0,206.9,126.0,35.17,264.4,126.0,22.47,171.8,124.0,7.73,9.3,11.0,2.51,b'2',0
48.0,63.0,b'510',1412.0,b'0',b'1',13.0,214.2,61.0,36.41,181.2,88.0,15.4,174.0,68.0,7.83,10.3,2.0,2.78,b'0',0
10.0,185.0,b'510',2035.0,b'0',b'1',31.0,189.8,126.0,32.27,163.3,133.0,13.88,264.8,126.0,11.92,7.5,3.0,2.03,b'1',0
33.0,148.0,b'510',334.0,b'0',b'0',0.0,216.2,95.0,36.75,185.7,105.0,15.78,300.0,143.0,13.5,10.0,5.0,2.7,b'2',0
41.0,116.0,b'415',1985.0,b'0',b'0',0.0,63.7,101.0,10.83,195.8,95.0,16.64,210.1,87.0,9.45,10.0,6.0,2.7,b'1',0
26.0,88.0,b'408',107.0,b'0',b'0',0.0,242.4,89.0,41.21,161.4,89.0,13.72,142.4,95.0,6.41,5.4,2.0,1.46,b'1',0
43.0,73.0,b'415',2374.0,b'0',b'0',0.0,224.4,90.0,38.15,159.5,88.0,13.56,192.8,74.0,8.68,13.0,2.0,3.51,b'1',0
25.0,65.0,b'510',2330.0,b'0',b'0',0.0,193.8,113.0,32.95,151.7,106.0,12.89,208.9,94.0,9.4,12.6,3.0,3.4,b'3',0
35.0,84.0,b'408',501.0,b'0',b'0',0.0,159.5,125.0,27.12,247.1,90.0,21.0,187.9,82.0,8.46,7.2,4.0,1.94,b'2',0
50.0,62.0,b'415',2976.0,b'0',b'0',0.0,116.5,77.0,19.81,186.1,111.0,15.82,180.6,72.0,8.13,16.1,2.0,4.35,b'3',0
23.0,122.0,b'415',1796.0,b'0',b'0',0.0,140.1,120.0,23.82,231.4,128.0,19.67,188.1,127.0,8.46,11.2,5.0,3.02,b'2',0
45.0,75.0,b'415',2370.0,b'0',b'0',0.0,224.7,116.0,38.2,192.0,79.0,16.32,212.2,98.0,9.55,11.3,11.0,3.05,b'3',0
27.0,111.0,b'408',583.0,b'0',b'0',0.0,224.9,117.0,38.23,191.9,127.0,16.31,229.9,97.0,10.35,10.3,3.0,2.78,b'0',0
3.0,83.0,b'415',3349.0,b'0',b'0',0.0,135.2,76.0,22.98,161.0,98.0,13.69,129.3,105.0,5.82,9.0,6.0,2.43,b'0',0
37.0,89.0,b'415',835.0,b'0',b'0',0.0,111.2,101.0,18.9,122.1,94.0,10.38,180.8,85.0,8.14,12.6,2.0,3.4,b'3',0
49.0,124.0,b'510',1479.0,b'0',b'0',0.0,184.8,74.0,31.42,175.1,84.0,14.88,158.2,95.0,7.12,10.5,6.0,2.84,b'1',0
43.0,130.0,b'408',3016.0,b'0',b'0',0.0,252.0,101.0,42.84,170.2,105.0,14.47,209.2,64.0,9.41,5.7,5.0,1.54,b'0',0
2.0,33.0,b'415',4462.0,b'1',b'0',0.0,164.0,99.0,27.88,153.1,102.0,13.01,123.8,104.0,5.57,6.4,4.0,1.73,b'0',0
30.0,95.0,b'408',3839.0,b'1',b'0',0.0,228.9,134.0,38.91,255.7,71.0,21.73,208.0,120.0,9.36,10.1,2.0,2.73,b'4',1
43.0,73.0,b'408',699.0,b'0',b'0',0.0,286.4,109.0,48.69,178.2,67.0,15.15,214.2,152.0,9.64,10.7,14.0,2.89,b'1',1
1.0,85.0,b'408',4428.0,b'0',b'0',0.0,127.9,107.0,21.74,271.2,124.0,23.05,202.2,76.0,9.1,12.5,5.0,3.38,b'0',0
13.0,145.0,b'415',1998.0,b'0',b'0',0.0,219.0,98.0,37.23,176.1,109.0,14.97,166.3,132.0,7.48,6.8,3.0,1.84,b'2',0
49.0,137.0,b'408',139.0,b'0',b'0',0.0,174.4,120.0,29.65,156.3,98.0,13.29,136.5,121.0,6.14,10.2,5.0,2.75,b'0',0
32.0,72.0,b'415',4491.0,b'0',b'0',0.0,190.7,111.0,32.42,241.6,103.0,20.54,278.1,95.0,12.51,4.4,3.0,1.19,b'1',0
9.0,132.0,b'510',393.0,b'0',b'1',36.0,226.2,103.0,38.45,181.6,125.0,15.44,258.8,102.0,11.65,10.5,5.0,2.84,b'3',1
2.0,115.0,b'415',1373.0,b'0',b'1',37.0,184.1,67.0,31.3,159.4,104.0,13.55,193.3,121.0,8.7,13.3,3.0,3.59,b'0',0
11.0,135.0,b'415',295.0,b'0',b'0',0.0,190.9,44.0,32.45,161.4,109.0,13.72,231.9,100.0,10.44,8.4,2.0,2.27,b'1',0
21.0,25.0,b'510',260.0,b'0',b'0',0.0,242.6,69.0,41.24,209.0,117.0,17.77,219.7,82.0,9.89,14.4,6.0,3.89,b'2',0
11.0,98.0,b'408',2819.0,b'0',b'1',30.0,110.3,71.0,18.75,182.4,108.0,15.5,183.8,88.0,8.27,11.0,8.0,2.97,b'2',0
45.0,170.0,b'510',1177.0,b'1',b'0',0.0,259.9,68.0,44.18,245.0,122.0,20.83,134.4,121.0,6.05,8.4,3.0,2.27,b'3',0
2.0,89.0,b'415',1981.0,b'0',b'1',25.0,215.1,140.0,36.57,197.4,69.0,16.78,162.1,117.0,7.29,10.6,10.0,2.86,b'1',0
25.0,90.0,b'415',893.0,b'0',b'1',32.0,194.0,83.0,32.98,151.7,111.0,12.89,205.8,111.0,9.26,9.3,4.0,2.51,b'1',0
42.0,105.0,b'510',2017.0,b'0',b'0',0.0,119.3,82.0,20.28,185.1,111.0,15.73,157.0,74.0,7.07,10.9,4.0,2.94,b'2',0
15.0,108.0,b'510',71.0,b'0',b'0',0.0,293.0,88.0,49.81,160.6,101.0,13.65,143.9,87.0,6.48,10.0,6.0,2.7,b'2',0
30.0,127.0,b'415',1773.0,b'0',b'0',0.0,200.8,104.0,34.14,181.4,73.0,15.42,89.7,49.0,4.04,9.7,5.0,2.62,b'0',0
14.0,83.0,b'415',2159.0,b'0',b'0',0.0,195.0,92.0,33.15,210.5,83.0,17.89,180.6,92.0,8.13,11.0,13.0,2.97,b'0',0
42.0,115.0,b'415',2444.0,b'0',b'0',0.0,206.2,113.0,35.05,176.4,102.0,14.99,297.1,119.0,13.37,11.0,7.0,2.97,b'1',0
39.0,133.0,b'510',1145.0,b'1',b'0',0.0,127.3,108.0,21.64,251.3,81.0,21.36,135.0,88.0,6.08,10.3,3.0,2.78,b'1',0
29.0,94.0,b'415',2565.0,b'0',b'0',0.0,252.6,104.0,42.94,169.0,125.0,14.37,170.9,106.0,7.69,11.1,7.0,3.0,b'2',0
50.0,111.0,b'415',2291.0,b'0',b'0',0.0,146.2,55.0,24.85,261.5,83.0,22.23,163.2,116.0,7.34,8.7,3.0,2.35,b'3',0
13.0,122.0,b'510',2865.0,b'0',b'1',33.0,270.8,96.0,46.04,220.4,110.0,18.73,169.9,104.0,7.65,11.8,8.0,3.19,b'4',0
50.0,124.0,b'415',4995.0,b'0',b'0',0.0,178.3,102.0,30.31,235.0,120.0,19.98,239.7,119.0,10.79,10.9,1.0,2.94,b'3',0
15.0,168.0,b'415',2934.0,b'0',b'0',0.0,183.2,131.0,31.14,179.2,73.0,15.23,292.8,100.0,13.18,9.9,5.0,2.67,b'2',0
1.0,49.0,b'415',196.0,b'0',b'1',28.0,214.4,78.0,36.45,235.2,100.0,19.99,206.2,107.0,9.28,8.0,13.0,2.16,b'3',0
17.0,54.0,b'408',1519.0,b'0',b'0',0.0,159.8,99.0,27.17,264.0,64.0,22.44,115.7,70.0,5.21,9.7,7.0,2.62,b'2',0
2.0,57.0,b'510',3423.0,b'0',b'0',0.0,192.8,68.0,32.78,158.0,86.0,13.43,235.5,105.0,10.6,12.7,6.0,3.43,b'1',0
42.0,123.0,b'415',4624.0,b'0',b'1',34.0,305.2,80.0,51.88,156.5,109.0,13.3,280.0,81.0,12.6,13.2,7.0,3.56,b'1',0
6.0,30.0,b'408',4379.0,b'0',b'0',0.0,137.6,108.0,23.39,162.0,80.0,13.77,187.7,126.0,8.45,5.8,10.0,1.57,b'3',0
47.0,126.0,b'510',592.0,b'0',b'1',42.0,247.8,96.0,42.13,159.1,98.0,13.52,201.8,73.0,9.08,10.6,3.0,2.86,b'2',0
