recid,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,<0,6,critical/other existing credit,radio/tv,1169,no known savings,>=7,4,male,single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good
2,0<= & <200,48,existing paid,radio/tv,5951,<100,1<= & <4,2,female,div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,bad
3,no checking,12,critical/other existing credit,education,2096,<100,4<= & <7,2,male,single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,good
4,<0,42,existing paid,furniture/equipment,7882,<100,4<= & <7,2,male,single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,good
5,<0,24,delayed previously,new car,4870,<100,1<= & <4,3,male,single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
6,no checking,36,existing paid,education,9055,no known savings,1<= & <4,2,male,single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,good
7,no checking,24,existing paid,furniture/equipment,2835,500<= & <1000,>=7,3,male,single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,good
8,0<= & <200,36,existing paid,used car,6948,<100,1<= & <4,2,male,single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
9,no checking,12,existing paid,radio/tv,3059,>=1000,4<= & <7,2,male,div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,good
10,0<= & <200,30,critical/other existing credit,new car,5234,<100,unemployed,4,male,mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
11,0<= & <200,12,existing paid,new car,1295,<100,<1,3,female,div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
12,<0,48,existing paid,business,4308,<100,<1,3,female,div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
13,0<= & <200,12,existing paid,radio/tv,1567,<100,1<= & <4,1,female,div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,good
14,<0,24,critical/other existing credit,new car,1199,<100,>=7,4,male,single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,bad
15,<0,15,existing paid,new car,1403,<100,1<= & <4,2,female,div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,good
16,<0,24,existing paid,radio/tv,1282,100<= & <500,1<= & <4,4,female,div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,bad
17,no checking,24,critical/other existing credit,radio/tv,2424,no known savings,>=7,4,male,single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,good
18,<0,30,no credits/all paid,business,8072,no known savings,<1,2,male,single,none,3,car,25,bank,own,3,skilled,1,none,yes,good
19,0<= & <200,24,existing paid,used car,12579,<100,>=7,4,female,div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
20,no checking,24,existing paid,radio/tv,3430,500<= & <1000,>=7,3,male,single,none,2,car,31,none,own,1,skilled,2,yes,yes,good
21,no checking,9,critical/other existing credit,new car,2134,<100,1<= & <4,4,male,single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
22,<0,6,existing paid,radio/tv,2647,500<= & <1000,1<= & <4,2,male,single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,good
23,<0,10,critical/other existing credit,new car,2241,<100,<1,1,male,single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,good
24,0<= & <200,12,critical/other existing credit,used car,1804,100<= & <500,<1,3,male,single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good
25,no checking,10,critical/other existing credit,furniture/equipment,2069,no known savings,1<= & <4,2,male,mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,good
26,<0,6,existing paid,furniture/equipment,1374,<100,1<= & <4,1,male,single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,good
27,no checking,6,no credits/all paid,radio/tv,426,<100,>=7,4,male,mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes,good
28,>=200,12,all paid,radio/tv,409,>=1000,1<= & <4,3,female,div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes,good
29,0<= & <200,7,existing paid,radio/tv,2415,<100,1<= & <4,3,male,single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,good
30,<0,60,delayed previously,business,6836,<100,>=7,3,male,single,none,4,no known property,63,none,own,2,skilled,1,yes,yes,bad
31,0<= & <200,18,existing paid,business,1913,>=1000,<1,3,male,mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good
32,<0,24,existing paid,furniture/equipment,4020,<100,1<= & <4,2,male,single,none,2,car,27,stores,own,1,skilled,1,none,yes,good
33,0<= & <200,18,existing paid,new car,5866,100<= & <500,1<= & <4,2,male,single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
34,no checking,12,critical/other existing credit,business,1264,no known savings,>=7,4,male,single,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,good
