# packages in environment at /home/datascience/conda/tensorflow28_p38_cpu_v1:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_sysroot_linux-64_curr_repodata_hack 3                   haa98f57_10    main
_tflow_select             2.3.0                       mkl    main
abseil-cpp                20211102.0           hd4dd3e8_0    main
absl-py                   1.3.0            py38h06a4308_0    main
aiohttp                   3.8.1            py38h7f8727e_1    main
aiosignal                 1.2.0              pyhd3eb1b0_0    main
anyio                     3.5.0            py38h06a4308_0    main
argon2-cffi               21.3.0             pyhd3eb1b0_0    main
argon2-cffi-bindings      21.2.0           py38h7f8727e_0    main
arrow                     1.2.3                    pypi_0    pypi
asteval                   0.9.27             pyhd8ed1ab_0    conda-forge
asttokens                 2.0.5              pyhd3eb1b0_0    main
astunparse                1.6.3                      py_0    main
async-timeout             4.0.2            py38h06a4308_0    main
attrs                     21.4.0             pyhd3eb1b0_0    main
backcall                  0.2.0              pyhd3eb1b0_0    main
beautifulsoup4            4.11.1           py38h06a4308_0    main
binutils_impl_linux-64    2.38                 h2a08ee3_1    main
binutils_linux-64         2.38.0               hc2dff05_0    main
blas                      1.0                    openblas    main
bleach                    4.1.0              pyhd3eb1b0_0    main
blinker                   1.4              py38h06a4308_0    main
bokeh                     2.4.3            py38h06a4308_0    main
bottleneck                1.3.5            py38h7deecbd_0    main
branca                    0.6.0              pyhd8ed1ab_0    conda-forge
brotli                    1.0.9                h5eee18b_7    main
brotli-bin                1.0.9                h5eee18b_7    main
brotlipy                  0.7.0           py38h27cfd23_1003    main
c-ares                    1.18.1               h7f8727e_0    main
ca-certificates           2022.10.11           h06a4308_0    main
cachetools                4.2.2              pyhd3eb1b0_0    main
cerberus                  1.3.4              pyhd3eb1b0_0    main
certifi                   2022.9.24        py38h06a4308_0    main
cffi                      1.15.1           py38h74dc2b5_0    main
charset-normalizer        2.0.4              pyhd3eb1b0_0    main
circuitbreaker            1.4.0                    pypi_0    pypi
click                     7.1.2                    pypi_0    pypi
click-plugins             1.1.1                    pypi_0    pypi
cligj                     0.7.2                    pypi_0    pypi
cloudpickle               2.0.0              pyhd3eb1b0_0    main
cryptography              37.0.2                   pypi_0    pypi
cycler                    0.11.0             pyhd3eb1b0_0    main
dataclasses               0.8                pyh6d0b6a4_7    main
datefinder                0.7.3                    pypi_0    pypi
dbus                      1.13.18              hb2f20db_0    main
debugpy                   1.5.1            py38h295c915_0    main
decorator                 5.1.1              pyhd3eb1b0_0    main
defusedxml                0.7.1              pyhd3eb1b0_0    main
entrypoints               0.4              py38h06a4308_0    main
et-xmlfile                1.1.0                    pypi_0    pypi
executing                 0.8.3              pyhd3eb1b0_0    main
expat                     2.4.9                h6a678d5_0    main
fastavro                  1.5.1                    pypi_0    pypi
fftw                      3.3.9                h27cfd23_1    main
filelock                  3.6.0              pyhd3eb1b0_0    main
fiona                     1.8.22                   pypi_0    pypi
flatbuffers               2.0.0                h2531618_0    main
folium                    0.13.0             pyhd8ed1ab_0    conda-forge
fontconfig                2.13.1               hef1e5e3_1    main
fonttools                 4.25.0             pyhd3eb1b0_0    main
freetype                  2.12.1               h4a9f257_0    main
frozenlist                1.2.0            py38h7f8727e_0    main
fsspec                    2022.7.1         py38h06a4308_0    main
fusepy                    3.0.1                    pypi_0    pypi
