EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,CircuitLength,designedLaps
Abu Dhabi Grand Prix,17,2020,Alfa Romeo Racing,HARD,GIO,2.0,97.066,Qualifying,22.59629629629629,26.06296296296296,61.65185185185184,0.0,14.0,16.0,2.0,1.0,28.0,27.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Alfa Romeo Racing,HARD,RAI,2.0,97.555,Qualifying,22.893023255813947,26.581395348837216,58.38139534883721,0.0,15.0,12.0,2.0,,12.0,43.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Alfa Romeo Racing,MEDIUM,GIO,1.0,97.066,Qualifying,23.44074074074074,28.007407407407406,52.51111111111112,0.0,14.0,16.0,1.0,1.0,1.0,27.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Alfa Romeo Racing,MEDIUM,RAI,1.0,97.555,Qualifying,23.56,28.880000000000003,51.65999999999999,0.0,15.0,12.0,1.0,1.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Alfa Romeo Racing,MEDIUM,RAI,2.0,97.555,Qualifying,23.4,27.9,51.7,0.0,15.0,12.0,2.0,,11.0,1.0,5.554,55
Abu Dhabi Grand Prix,17,2020,AlphaTauri,HARD,GAS,2.0,96.242,Qualifying,22.89777777777777,26.597777777777775,58.27999999999999,0.0,9.0,8.0,2.0,1.0,11.0,45.0,5.554,55
Abu Dhabi Grand Prix,17,2020,AlphaTauri,HARD,KVY,2.0,95.963,Qualifying,22.909090909090903,26.609090909090913,58.209090909090904,0.0,7.0,11.0,2.0,1.0,11.0,44.0,5.554,55
Abu Dhabi Grand Prix,17,2020,AlphaTauri,SOFT,GAS,1.0,96.242,Qualifying,23.56,28.910000000000004,51.65,0.0,9.0,8.0,1.0,4.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,AlphaTauri,SOFT,KVY,1.0,95.963,Qualifying,23.56,28.910000000000004,51.65,0.0,7.0,11.0,1.0,4.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Ferrari,HARD,LEC,2.0,95.881,Qualifying,22.709374999999998,26.209375,60.590625,0.0,12.0,13.0,2.0,1.0,23.0,32.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Ferrari,HARD,VET,1.0,96.631,Qualifying,23.311428571428568,27.685714285714287,54.197142857142865,0.0,13.0,14.0,1.0,1.0,1.0,35.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Ferrari,MEDIUM,LEC,1.0,95.881,Qualifying,23.477272727272723,28.236363636363635,51.877272727272725,0.0,12.0,13.0,1.0,4.0,1.0,22.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Ferrari,MEDIUM,VET,2.0,96.631,Qualifying,22.50526315789474,25.831578947368417,62.09473684210526,0.0,13.0,14.0,2.0,1.0,36.0,19.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Haas F1 Team,HARD,FIT,2.0,98.173,Qualifying,23.212500000000002,27.229166666666668,55.23749999999999,0.0,17.0,19.0,2.0,1.0,11.0,24.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Haas F1 Team,HARD,MAG,1.0,97.863,Qualifying,23.36774193548387,27.835483870967746,53.53225806451613,0.0,20.0,18.0,1.0,1.0,1.0,31.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Haas F1 Team,MEDIUM,FIT,1.0,98.173,Qualifying,23.549999999999997,28.880000000000003,51.73,0.0,17.0,19.0,1.0,1.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Haas F1 Team,MEDIUM,FIT,3.0,98.173,Qualifying,22.599999999999998,25.992857142857144,61.84285714285714,0.0,17.0,19.0,3.0,1.0,35.0,14.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Haas F1 Team,MEDIUM,MAG,2.0,97.863,Qualifying,22.643749999999997,26.11875,61.6625,0.0,20.0,18.0,2.0,1.0,32.0,16.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Haas F1 Team,MEDIUM,MAG,3.0,97.863,Qualifying,22.314285714285717,25.5,62.642857142857146,0.0,20.0,18.0,3.0,1.0,48.0,7.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Haas F1 Team,SOFT,FIT,4.0,98.173,Qualifying,22.3,25.439999999999998,62.74000000000001,0.0,17.0,19.0,4.0,1.0,49.0,5.0,5.554,55
Abu Dhabi Grand Prix,17,2020,McLaren,HARD,NOR,2.0,95.497,Qualifying,22.90444444444444,26.61111111111111,58.28222222222221,0.0,4.0,5.0,2.0,1.0,11.0,45.0,5.554,55
Abu Dhabi Grand Prix,17,2020,McLaren,HARD,SAI,2.0,95.815,Qualifying,22.90444444444444,26.608888888888885,58.28222222222222,0.0,6.0,6.0,2.0,1.0,11.0,45.0,5.554,55
Abu Dhabi Grand Prix,17,2020,McLaren,MEDIUM,SAI,1.0,95.815,Qualifying,23.56,28.910000000000004,51.65,0.0,6.0,6.0,1.0,4.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,McLaren,SOFT,NOR,1.0,95.497,Qualifying,23.56,28.910000000000004,51.65,0.0,4.0,5.0,1.0,4.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Mercedes,HARD,BOT,2.0,95.271,Qualifying,22.90666666666666,26.620000000000008,58.23777777777779,0.0,2.0,2.0,2.0,1.0,11.0,45.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Mercedes,HARD,HAM,2.0,95.332,Qualifying,22.90666666666666,26.617777777777782,58.242222222222225,0.0,3.0,3.0,2.0,1.0,11.0,45.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Mercedes,MEDIUM,BOT,1.0,95.271,Qualifying,23.56,28.93,51.629999999999995,0.0,2.0,2.0,1.0,4.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Mercedes,MEDIUM,HAM,1.0,95.332,Qualifying,23.56,28.93,51.60999999999999,0.0,3.0,3.0,1.0,4.0,1.0,10.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Racing Point,HARD,PER,1.0,96.034,Qualifying,23.525,29.0375,51.8125,0.0,19.0,20.0,1.0,1.0,1.0,8.0,5.554,55
Abu Dhabi Grand Prix,17,2020,Racing Point,HARD,STR,2.0,96.046,Qualifying,22.89777777777777,26.58888888888889,58.268888888888874,0.0,8.0,10.0,2.0,1.0,11.0,45.0,5.554,55
